DISCOUNT_ITEM_ID|DISCOUNT_ITEM_TYPE|DISCOUNT_ITEM_VALUE|CONDITION_ID
1615931|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615932|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615933|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615934|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615935|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615936|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615937|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615938|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615939|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615940|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615941|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615942|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615943|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615944|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615945|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615946|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615947|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615948|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615949|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615950|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615951|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615952|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615955|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615956|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615959|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615960|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1615961|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1615962|1|HPN;R  ;QR911    ;*;*;*;*;R;*;*;|134984
